SMILES,Activity binary
O=S(=O)(O)CCCS(=O)(=O)c1cccc2c1-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1cccc(S(=O)(=O)CCCS(=O)(=O)O)c41)-c1cccc(S(=O)(=O)CCCS(=O)(=O)O)c1-3)c1cccc(S(=O)(=O)CCCS(=O)(=O)O)c21,0
Nc1ccccc1O,1
Cc1ccc2c(c1)C(N=c1[nH]c(C(C)F)nc(=N)[nH]1)C(C)C2,0
O=C1CCCO1,0
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,1
FC(F)(F)c1ccc(Cl)cc1,1
CC1=CCC(C(C)C)C=C1,1
ON=C1C=CCCC1,1
CCCCCCCCC=CCCCCCCCCOS(C)(=O)=O,1
CCCCCCCCCCCCCCCCCCCC1=NC(C)(C)C(=O)O1,1
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC1CC(CC(=O)OC(C)(C)C)OC2(CCCC2)O1,0
O=[N+]([O-])c1ccc(S(=O)(=O)O)c([N+](=O)[O-])c1,1
CC(COCC(F)(F)C(F)(F)C(F)(F)F)OC(=O)CC(C(=O)OC(C)COCC(F)(F)C(F)(F)C(F)(F)F)C(C(=O)OC(C)COCC(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)O,0
CC(C)OC(=O)c1ccc2c(C3CCCC3)c(Br)n(C)c2c1,0
Cc1cn(C(CC(=O)O)C(=O)O)nc1C,0
O=[N+]([O-])c1ccc(CBr)cc1,1
BrCc1ccccc1,1
ClCc1ccccc1,1
OCc1ccccc1,0
CNc1ccccc1,0
ON=C1CCCCC1,0
C1N2CN3CN1CN(C2)C3,1
CCCCOC(=O)NC(=S)SCCCC,1
CCCCC(O)C(N)CC,1
C=C(C)C(=O)OC1CCCCC1,1
CCCCCC(=Cc1ccccc1)CO,0
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,1
OCC1OC(OCC=Cc2ccccc2)C(O)C(O)C1O,0
c1ccc(OCCOc2ccccc2)cc1,0
OCCOCCOc1ccccc1,0
CC12CCC3C(CCC4CCCCC43C)C1CCC2=O,0
CCc1ccc(CC)cc1,0
COC(=O)CC(C)=O,0
CC(C)=CCCC(C)CCO,1
Cc1ccc(C)cc1,1
Nc1ccc(Cl)cc1,0
COC(=O)CCC(=O)OC,0
BrCCBr,0
ClCCCl,0
OCCCl,0
NCCN,1
CC=CC(=O)O,0
C=Cn1ccnc1,0
Nc1c(OCCO)nn2ccccc12,1
C=COC(C)=O,0
Oc1ccc(O)o1,1
O=C1C=CC(=O)O1,1
CN1CN(C)CN(C)C1,1
Clc1ccccc1,0
ClCc1ccc2ccc3cccc4ccc1c2c34,1
CCCCBr,0
CCNCC,1
C1CCOC1,0
CCCCCCCCCCCCCC(=O)OC(C)C,1
CCCCCC(C)=O,0
CCCCCC,0
c1ccncc1,1
CC(C)=CCCC(C)=CCCC(C)=CCCC=C(C)CCC=C(C)CCC=C(C)C,1
ClCCOCOCCCl,0
NC(=O)O,0
CCCCCCC(O)CO,0
CCCCCCCCC(=O)O,0
C=CCCCCCCCCC(=O)O,1
CCCCCCCCC=CCCCCCCCC(=O)O,1
CC(CO)CCCC1CCCCC1,0
